ID,Workstream,Task,Assigned To,Status,Due Date,Est (days),Notes
UP-001,Frontend,Finish homepage rebuild (SvelteKit 5 + Tailwind v4),,In Progress,2026-07-24,3,Already started. Hero + 11 sections built from Figma content/order; dark/light token swap in place.
UP-002,Frontend,Replace hero/demo/founder placeholders with real assets,,Not Started,2026-07-31,1,No product screenshot or demo video assets exist yet. Blocked on client.
UP-003,Frontend,Decide fate of in-page anchors (Platform/Services/Data APIs/About/Insights),,Not Started,2026-07-31,1,Currently same-page anchors. If they become real routes header/footer targets need updating.
UP-004,Frontend,Replace stub routes with real flows (/login /signup /demo /report /developers),,Not Started,2026-08-07,2,Currently mailto: placeholders. Depends on auth + checkout work below.
UP-005,Content,Confirm no-CMS decision with client and document edit request process,,Confirmed,2026-07-24,0.5,CONFIRMED: no WYSIWYG CMS. All content edits go through a developer. Removes original scope item 6 (WYSIWYG CMS) entirely.
UP-006,Content,Move page copy into typed content modules in repo,,Not Started,2026-08-07,2,Consequence of no-CMS: copy lives in code. Keep it in one place per page so non-narrative edits are cheap.
UP-007,WordPress,Audit existing WordPress site (plugins themes custom code membership tables),,Done,2026-07-31,2,"Audited 2026-09-06: see CLAUDE.md ""WordPress source"". WP 6.9.7, Woo Subscriptions legacy storage, Pin Payments + WooPayments, 169 users (96 $wp$ bcrypt / 73 phpass), 74 active subs of which 21 paid. Baseline needed before any migration. Document what actually drives membership today."
UP-008,WordPress,Custom WooCommerce product setup,,Not Started,2026-07-31,2,Interim while WP remains system of record.
UP-009,WordPress,Stripe integration on WooCommerce,,Not Started,2026-08-07,2,"DECIDED 2026-09-06: Stripe is the gateway and the source of truth for subscription state (Stripe Billing subscriptions, not Woo Subscriptions). Pin Payments references in the original doc are superseded."
UP-010,WordPress,Post-purchase hook to n8n for PDF delivery (title search / reports),,Not Started,2026-08-07,2,Woo order completed -> n8n -> report API -> email PDF.
UP-011,WordPress,Expose WP API endpoint to create account from Stripe checkout,,Not Started,2026-08-14,2,INTERIM SOLUTION: subscription is taken on Stripe then calls WP to create the member account. WP stays the user store for now.
UP-012,WordPress,Embed SvelteKit frontend app into WordPress,,Done,2026-08-14,3,"2026-09-06: upapp merged into this SvelteKit project at /app (not iframe, not proxy). See CLAUDE.md ""The property app, merged"". Routing + base path + asset handling. Decide iframe vs reverse-proxy path mount early."
UP-013,WordPress,Product ID mapping between Woo and app,,Not Started,2026-08-14,1,Single mapping table so plan/product IDs are not hardcoded in two places.
UP-014,WordPress,Share member tokens and routing between WP and app,,Done,2026-08-21,2,2026-09-06: superseded — one session cookie serves site and app. Cookie/token handoff. Must work before app auth can be rehooked (UP-030).
UP-015,Payments,Stripe checkout for due diligence report purchase,,Not Started,2026-08-21,3,$55 one-off. Guest checkout allowed.
UP-016,Payments,Email delivery flow for due diligence report,,Not Started,2026-08-21,2,Stripe webhook -> n8n -> generate PDF -> email. Needs retry + failure alerting.
